ie_cliente,id,createdby,responsible,datecreated,name,cnpj,socialprofiles,picture,domain,primaryemail,primaryphone,phones,emails,source,origin,notes,employees,projects,projectparticipants,activities,deals,dealparticipants,entitycustomfields
2,9259297,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:13:54,Name - 42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592047}}]",0.0,0.0,0,"[{""id"": 30513248}]",0.0,[]
2,9259366,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:15:18,Name - 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592181}}]",0.0,0.0,0,"[{""id"": 30513382}]",0.0,[]
2,9259386,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:17:50,Name - 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592378}}]",0.0,0.0,0,"[{""id"": 30513618}]",0.0,[]
2,9259407,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:20:30,Name - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 21878048}}]",0.0,0.0,0,"[{""id"": 30513754}]",0.0,[]
2,9259412,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:21:19,Name - 64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592568}}]",0.0,0.0,0,"[{""id"": 30513845}]",0.0,[]
2,9259416,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:21:41,Name - 77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592602}}]",0.0,0.0,0,"[{""id"": 30513888}]",0.0,[]
2,9259424,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:23:05,Name - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592745}}]",0.0,0.0,0,"[{""id"": 30514065}]",0.0,[]
2,9259427,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:23:18,Name - 63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592767}}, {""contact"": {""id"": 30592780}}]",0.0,0.0,0,"[{""id"": 30514090}, {""id"": 30514112}]",0.0,[]
2,9259428,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:23:18,Name - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592766}}]",0.0,0.0,0,"[{""id"": 30514089}]",0.0,[]
2,9259431,"{""id"": 97502}","{""id"": 97502}",2024-04-22 18:24:35,Name - 60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30592871}}]",0.0,0.0,"[{""id"": 45614429}]","[{""id"": 30514229}]",0.0,[]
2,9289174,"{""id"": 97502}","{""id"": 97502}",2024-04-27 13:01:12,Name - 51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30694946}}]",0.0,0.0,"[{""id"": 46057713}, {""id"": 46057715}, {""id"": 46057720}, {""id"": 46057725}, {""id"": 46429751}, {""id"": 47005809}, {""id"": 47468370}]","[{""id"": 30631938}]",0.0,[]
2,9326015,"{""id"": 85354}","{""id"": 85354}",2024-05-02 14:13:35,Name - 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 30787978}}]",0.0,0.0,"[{""id"": 45963003}, {""id"": 46139395}, {""id"": 46139403}, {""id"": 46139408}, {""id"": 46139414}, {""id"": 46139427}, {""id"": 46433829}, {""id"": 47385648}, {""id"": 48187673}]","[{""id"": 30726984}]",0.0,[]
2,9629976,"{""id"": 85354}","{""id"": 85354}",2024-05-23 21:03:24,Name - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 31358993}}]",0.0,0.0,"[{""id"": 47014933}, {""id"": 47014936}, {""id"": 47014940}, {""id"": 47014947}]","[{""id"": 31390555}]",0.0,[]
2,9884796,"{""id"": 85354}","{""id"": 85354}",2024-06-26 21:15:50,Name - 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 32092981}}]",0.0,0.0,"[{""id"": 48565362}, {""id"": 48565367}, {""id"": 48565369}, {""id"": 48565398}, {""id"": 48608684}, {""id"": 49305117}, {""id"": 49976790}, {""id"": 50269960}]","[{""id"": 32203797}]",0.0,[]
2,10050747,"{""id"": 85354}","{""id"": 85354}",2024-07-16 21:10:03,Name - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 32552868}}]",0.0,0.0,"[{""id"": 49496804}, {""id"": 49496808}, {""id"": 49496815}, {""id"": 49496826}, {""id"": 49765560}, {""id"": 49969047}, {""id"": 50369210}]","[{""id"": 32670615}]",0.0,[]
2,10186404,"{""id"": 97502}","{""id"": 97502}",2024-07-31 23:26:48,Name - 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RDSTATION,RD Station,0.0,"[{""contact"": {""id"": 32446645}}]",0.0,0.0,0,0,0.0,[]
