ie_cliente,id,title,createdby,responsible,doneuser,source,origin,donesource,datecreated,duedate,donedate,firsttry,lasttry,type,duration,totaltries,totaldays,notes,donenotes,contacts,deals,companies,projects,entitycustomfields
2,35670348,Retorno: 2° Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-02T17:55:50.000+00:00,2023-08-10T17:55:00.000+00:00,2023-08-25T16:44:50.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25229418}]","[{""id"": 24828066}]",0,0,[]
2,35670407,Retorno: 2° Retorno,"{""id"": 99015}","{""id"": 99015}","{""id"": 99015}",MANUAL,Moskit,MANUAL,2023-08-02T17:56:38.000+00:00,2023-08-24T17:56:00.000+00:00,2023-08-24T18:28:57.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25229276}]","[{""id"": 24827952}]",0,0,[]
2,35674362,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T18:44:38.000+00:00,2023-08-02T18:44:00.000+00:00,2023-08-02T18:44:45.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24704762}]","[{""id"": 24300315}]",0,0,[]
2,35676028,Alochat (2º tentativa),"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:03:38.000+00:00,2023-08-02T19:03:00.000+00:00,2023-08-02T19:03:42.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24704807}]","[{""id"": 24300364}]",0,0,[]
2,35676273,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:06:27.000+00:00,2023-08-02T19:06:00.000+00:00,2023-08-02T19:06:33.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,FEITO,"[{""id"": 24704960}]","[{""id"": 24300553}]",0,0,[]
2,35677192,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:16:19.000+00:00,2023-08-02T19:16:00.000+00:00,2023-08-02T19:16:26.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24835443}]","[{""id"": 24418514}]",0,0,[]
2,35677732,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:23:07.000+00:00,2023-08-02T19:23:00.000+00:00,2023-08-02T19:23:12.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 25021307}]","[{""id"": 24598808}]",0,0,[]
2,35678023,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:26:49.000+00:00,2023-08-02T19:26:00.000+00:00,2023-08-02T19:26:56.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24686147}]","[{""id"": 24278534}]",0,0,[]
2,35679776,Alochat,"{""id"": 97502}","{""id"": 97502}","{""id"": 97502}",MANUAL,Moskit,MANUAL,2023-08-02T19:47:29.000+00:00,2023-08-02T19:47:00.000+00:00,2023-08-02T19:47:35.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,feito,"[{""id"": 24764595}]","[{""id"": 24357065}]",0,0,[]
2,35689091,Retorno Proposta,"{""id"": 99015}","{""id"": 99015}","{""id"": 85354}",MANUAL,Moskit,MANUAL,2023-08-03T11:30:52.000+00:00,2023-08-10T11:30:00.000+00:00,2023-08-31T16:16:04.000+00:00,0,0,"{""id"": 120309}",0,0,0,0,0,"[{""id"": 25297240}]","[{""id"": 24897379}]",0,0,[]
